false|false|false
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
59234|2015|Toyota|Camry|Sedan|Blue|88210|10995.0
81239|2018|Jeep|Wrangler|SUV|Green|55412|22495.0
67544|2025|Toyota|Camry|SUV|White|45008|27000.0
1281092|2019|Nissan|Altima|Sedan|Blue|79120|19000.0
23121|2018|Toyota|Camry|Sedan|black|18201|18020.0
237891|2018|Toyota|Camry|Sedan|Black|21891|12822.0
28391|2019|Toyota|Camry|Sedan|Black|18012|12093.0
